article_id,title,url_category,uc_tags,search_eligible,mapping_method,token_estimate,source_url
ka44J000000gL3EQAU,Getting it Right: Posting in Community,Creating_Ads,UC-B,True,url_category,295,https://help.gumtree.com/s/basics?cat=Creating_Ads&article=Creating-Effective-Ads
ka44J000000gL34QAE,Getting it Right: Posting in Services,Creating_Ads,UC-B,True,url_category,646,https://help.gumtree.com/s/basics?cat=Creating_Ads&article=Creating-Effective-Ads
ka44J000000gL3JQAU,Tips on buying your dream home,,UC-E,True,content_keyword,691,https://www.gumtree.com/info/life/p/gumtree/top-tips-on-finding-your-next-home/
ka44J000000gL3OQAU,Tips on renting a holiday home,,UC-B,True,title_keyword,502,https://www.gumtree.com/info/safety/p/trust-safety/safety-advice-trust-safety/how-to-rent-a-holiday-home-or-caravan/
ka44J000000gKxaQAE,Suspicious Ads,Safely_Buying_Selling,UC-E,True,url_category,514,https://help.gumtree.com/s/safety?cat=Safely_Buying_Selling&article=Suspicious-Ads
ka44J000000gL1wQAE,Avoiding Scammers,Keeping_Your_Information_Safe,UC-E,True,url_category,1944,https://help.gumtree.com/s/safety?cat=Keeping_Your_Information_Safe&article=Recognising-Phishing-and-Spoof-Attempts
ka4P200000001k5IAA,Recognising Phishing and Spoof Attempts,Keeping_Your_Information_Safe,UC-E,True,url_category,833,https://help.gumtree.com/s/safety?cat=Keeping_Your_Information_Safe&article=Recognising-Phishing-and-Spoof-Attempts
ka4P200000006OnIAI,Safe Payments,Safely_Buying_Selling,UC-E,True,url_category,1087,https://help.gumtree.com/s/safety?cat=Safely_Buying_Selling&article=Safety-at-the-Meet-Up
ka44J000000gKxVQAU,Scammers Recruiting Others,Types_of_Scams,UC-E,True,url_category,393,https://help.gumtree.com/s/safety?cat=Types_of_Scams&article=Scammers-Recruiting-Others
ka4P200000001ybIAA,Whirlool Washing Machine/Dryer Recalls,Posting_Policies,UC-B|UC-FP,True,url_category,168,https://help.gumtree.com/s/policies?cat=Posting_Policies&article=Washing-Machine-Recall
ka44J000000gKtnQAE,Quick Safety Tips,Safely_Buying_Selling,UC-E,True,url_category,640,https://help.gumtree.com/s/safety?cat=Safely_Buying_Selling&article=Quick-Safety-Tips
ka44J000000gL1IQAU,Staying Safe Advice,Safely_Buying_Selling,UC-E,True,url_category,642,https://help.gumtree.com/s/safety?cat=Safely_Buying_Selling&article=Quick-Safety-Tips
ka4P200000001IfIAI,Dealer Auction - Payments FAQs,,UC-F,True,title_keyword,397,
ka4P200000007JFIAY,Gumtree Policies,,UC-FP,True,title_keyword,393,
ka4P200000000rFIAQ,Protecting Pets by Making Our Pets Category Harder to Use - 2018 Statement,Pets_Policies,UC-B|UC-FP,True,url_category,945,https://help.gumtree.com/s/policies?article=Protecting-Pets-by-Making-Our-Pets-Category-Harder-to-Use2&cat=Pets_Policies
ka44J000000gL1DQAU,Protecting Pets by Making Our Pets Category Harder to Use,Pets_Policies,UC-B|UC-FP,True,url_category,962,https://help.gumtree.com/s/policies?cat=Pets_Policies&article=Protecting-Pets-by-Making-Our-Pets-Category-Harder-to-Use2
ka44J000000gKd6QAE,Modern Slavery Act,General_Policies,UC-FP,True,url_category,32,https://help.gumtree.com/s/policies?cat=General_Policies&article=Modern-Slavery-Act2
ka4P200000004d7IAA,Modern Slavery Act,General_Policies,UC-FP,True,url_category,81,https://help.gumtree.com/s/policies?cat=General_Policies&article=Modern-Slavery-Act2
ka44J000000TbcSQAS,Rules for selling tickets,,UC-FP,True,title_keyword,288,
ka44J000000gKrmQAE,"Stoves, Belling and New World Gas Range Cookers  - Safety Notice",Posting_Policies,UC-B|UC-FP,True,url_category,135,https://help.gumtree.com/s/policies?cat=Posting_Policies&article=Stoves-Belling-and-New-World-Gas-Range-Cookers-Notice
ka44J000000CuozQAC,Dealer Auction - Selling Your Car FAQs,,UC-B,True,title_keyword,1663,
ka44J000000gKtxQAE,Reporting Reply & Text Fraud,Reporting_Bad_Activity,UC-E|UC-FP,True,url_category,331,https://help.gumtree.com/s/safety?cat=Reporting_Bad_Activity&article=Reporting-Reply-Text-Fraud
ka44J000000gKuvQAE,How the Tenant Fees Act 2019 Affects You,Category_Specific_Policies,UC-B|UC-FP,True,url_category,360,https://help.gumtree.com/s/policies?cat=Category_Specific_Policies&article=How-the-Tenant-Fees-Act-2019-Affects-You
ka4P200000001ddIAA,Third Party Code of Business Conduct and Ethics,General_Policies,UC-FP,True,url_category,2742,https://help.gumtree.com/s/policies?article=Third-Party-Code-of-Business-Conduct-and-Ethics&cat=General_Policies
ka44J000000gKuMQAU,Staying Safe in our Jobs Category,Safely_Buying_Selling,UC-E,True,url_category,847,https://help.gumtree.com/s/safety?cat=Safely_Buying_Selling&article=Staying-Safe-in-our-Jobs-Category
